                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
 2118:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
 2119:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
 2120:   76:lw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[72] accepted 1
 2121:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2122:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2123:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3784] accepted 1
 2124:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=1  BUS_LOAD  MEM[80] accepted 1
 2125:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2126:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=2  BUS_LOAD  MEM[88] accepted 1
 2127:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3800] accepted 1
 2128:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=72  BUS_LOAD  MEM[88] accepted 1
 2129:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3808  BUS_LOAD  MEM[96] accepted 1
 2130:   76:lw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[72] accepted 1
 2131:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2132:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2133:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3816] accepted 1
 2134:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=3  BUS_LOAD  MEM[80] accepted 1
 2135:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2136:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=5  BUS_LOAD  MEM[88] accepted 1
 2137:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3832] accepted 1
 2138:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=56  BUS_LOAD  MEM[88] accepted 1
 2139:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3840  BUS_LOAD  MEM[96] accepted 1
 2140:   60:sw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[56] accepted 1
 2141:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
 2142:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
 2143:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3848] = 5 accepted 1
 2144:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3840] accepted 1
 2145:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=5  BUS_LOAD  MEM[64] accepted 1
 2146:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
 2147:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=3  BUS_LOAD  MEM[72] accepted 1
 2148:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
 2149:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
 2150:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2151:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2152:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2153:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2154:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2155:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3808  BUS_STORE MEM[3832] = 72 accepted 1
 2156:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3808] = 3 accepted 1
 2157:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2158:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=2  BUS_LOAD  MEM[56] accepted 1
 2159:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2160:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2161:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2162:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2163:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2164:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2165:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2166:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2167:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3776  BUS_STORE MEM[3800] = 56 accepted 1
 2168:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3776] = 2 accepted 1
 2169:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2170:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=1  BUS_LOAD  MEM[56] accepted 1
 2171:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2172:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2173:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2174:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2175:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2176:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2177:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2178:   96:addi    |   0:-       |   0:-       |   0:-       |  36:beq     BUS_LOAD  MEM[88] accepted 1
 2179:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2180:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2181:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
 2182:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
 2183:   60:sw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[56] accepted 1
 2184:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
 2185:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
 2186:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3784] = 1 accepted 1
 2187:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3776] accepted 1
 2188:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=2  BUS_LOAD  MEM[64] accepted 1
 2189:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
 2190:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=0  BUS_LOAD  MEM[72] accepted 1
 2191:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
 2192:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
 2193:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2194:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2195:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2196:   96:addi    |   0:-       |   0:-       |   0:-       |  32:beq     BUS_LOAD  MEM[88] accepted 1
 2197:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2198:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2199:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
 2200:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
 2201:   76:lw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[72] accepted 1
 2202:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2203:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2204:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3784] accepted 1
 2205:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=1  BUS_LOAD  MEM[80] accepted 1
 2206:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2207:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=2  BUS_LOAD  MEM[88] accepted 1
 2208:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3800] accepted 1
 2209:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=56  BUS_LOAD  MEM[88] accepted 1
 2210:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3808  BUS_LOAD  MEM[96] accepted 1
 2211:   60:sw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[56] accepted 1
 2212:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
 2213:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
 2214:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3816] = 2 accepted 1
 2215:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3808] accepted 1
 2216:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=3  BUS_LOAD  MEM[64] accepted 1
 2217:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
 2218:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=1  BUS_LOAD  MEM[72] accepted 1
 2219:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
 2220:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
 2221:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2222:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2223:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2224:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2225:   96:addi    |   0:-       |   0:-       |   0:-       |  36:beq     BUS_LOAD  MEM[88] accepted 1
 2226:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2227:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
 2228:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
 2229:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
 2230:   76:lw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[72] accepted 1
 2231:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2232:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2233:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3816] accepted 1
 2234:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=2  BUS_LOAD  MEM[80] accepted 1
 2235:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2236:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=3  BUS_LOAD  MEM[88] accepted 1
 2237:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3832] accepted 1
 2238:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=72  BUS_LOAD  MEM[88] accepted 1
 2239:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3840  BUS_LOAD  MEM[96] accepted 1
 2240:   76:lw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[72] accepted 1
 2241:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2242:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2243:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3848] accepted 1
 2244:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=5  BUS_LOAD  MEM[80] accepted 1
 2245:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2246:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=8  BUS_LOAD  MEM[88] accepted 1
 2247:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3864] accepted 1
 2248:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=72  BUS_LOAD  MEM[88] accepted 1
 2249:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3872  BUS_LOAD  MEM[96] accepted 1
 2250:   76:lw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[72] accepted 1
 2251:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2252:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2253:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3880] accepted 1
 2254:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=13  BUS_LOAD  MEM[80] accepted 1
 2255:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2256:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=21  BUS_LOAD  MEM[88] accepted 1
 2257:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3896] accepted 1
 2258:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=72  BUS_LOAD  MEM[88] accepted 1
 2259:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3904  BUS_LOAD  MEM[96] accepted 1
 2260:   76:lw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[72] accepted 1
 2261:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
 2262:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
 2263:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3912] accepted 1
 2264:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=34  BUS_LOAD  MEM[80] accepted 1
 2265:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
 2266:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=55  BUS_LOAD  MEM[88] accepted 1
 2267:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3928] accepted 1
 2268:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=56  BUS_LOAD  MEM[88] accepted 1
 2269:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3936  BUS_LOAD  MEM[96] accepted 1
 2270:   60:sw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[56] accepted 1
 2271:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
 2272:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
 2273:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3944] = 55 accepted 1
 2274:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3936] accepted 1
 2275:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=10  BUS_LOAD  MEM[64] accepted 1
 2276:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
 2277:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=8  BUS_LOAD  MEM[72] accepted 1
 2278:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
 2279:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
 2280:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2281:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2282:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2283:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2284:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2285:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3904  BUS_STORE MEM[3928] = 72 accepted 1
 2286:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3904] = 8 accepted 1
 2287:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2288:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=7  BUS_LOAD  MEM[56] accepted 1
 2289:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2290:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2291:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2292:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2293:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2294:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2295:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2296:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2297:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3872  BUS_STORE MEM[3896] = 56 accepted 1
 2298:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3872] = 7 accepted 1
 2299:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2300:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=6  BUS_LOAD  MEM[56] accepted 1
 2301:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2302:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2303:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2304:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2305:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2306:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2307:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2308:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2309:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3840  BUS_STORE MEM[3864] = 56 accepted 1
 2310:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3840] = 6 accepted 1
 2311:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2312:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=5  BUS_LOAD  MEM[56] accepted 1
 2313:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2314:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2315:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2316:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2317:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2318:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2319:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2320:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2321:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3808  BUS_STORE MEM[3832] = 56 accepted 1
 2322:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3808] = 5 accepted 1
 2323:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2324:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=4  BUS_LOAD  MEM[56] accepted 1
 2325:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2326:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2327:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2328:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2329:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2330:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2331:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2332:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2333:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3776  BUS_STORE MEM[3800] = 56 accepted 1
 2334:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3776] = 4 accepted 1
 2335:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2336:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=3  BUS_LOAD  MEM[56] accepted 1
 2337:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2338:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2339:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2340:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2341:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2342:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
 2343:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
 2344:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
 2345:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3744  BUS_STORE MEM[3768] = 56 accepted 1
 2346:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3744] = 3 accepted 1
 2347:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
 2348:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=2  BUS_LOAD  MEM[56] accepted 1
 2349:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 2350:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
 2351:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
 2352:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
 2353:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
